New column 0,New column 1
Date d'entrée en vigueur,"Date d'entrée en vigueur

Le présent document établit la politique approuvée par le Conseil du Trésor, le 10 juillet 1996, et devant entrer en vigueur le 16 juillet 1996."
Préface,"Il existe un nouveau pouvoir de licenciement dans la Loi sur la gestion des finances publiques (LGFP) à l'alinéa 11(2)(g.1). En vertu de celui-ci, le Conseil du Trésor peut licencier un employé qui reçoit une offre d'emploi à la suite du transfert de toute activité ou entreprise d'un secteur de l'administration publique fédérale défini dans la Partie I de l'Annexe I de la Loi sur les relations de travail dans la fonction publique à une entité qui constitue un employeur distinct ou qui ne fait pas partie de la fonction publique. L'article 29 de la Loi sur l'emploi dans la fonction publique confère toujours au CT le pouvoir de mettre en disponibilité un fonctionnaire par faute de travail, de la suppression d'une fonction, ou du transfert d'une fonction non prévue par ce nouveau pouvoir."
Objectif de la politique,"Faciliter le transfert de personnel à de nouveaux employeurs, dans le cadre de la diversification des modes d'exécution, d'une façon équitable et transparente reflétant les exigences opérationnelles des organisations concernées."
Énoncé de politique,"Les licenciements se feront d'une manière :

qui assurera que le choix des employés qui recevront des offres d'emploi du nouvel employeur sera basé sur les exigences opérationnelles de l'organisation gouvernementale effectuant le transfert et de celles de l'organisation d'accueil;
qui permettra d'informer régulièrement les employés et leurs représentants, et de leur donner toutes les occasions possibles de participer aux consultations;
qui découle d'un processus ouvert et transparent."
Application,La présente politique s'applique aux ministères et aux organismes énumérés à la Partie I de l'Annexe I de la Loi sur les relations de travail dans la fonction publique.
Exigences de la politique,"Les administrateurs généraux doivent :

établir des lignes directrices et des principes généraux en matière de ressources humaines ayant trait au traitement, à l'identification et au licenciement des employés des ministères touchés par le transfert d'une activité ou d'une entreprise;
s'assurer que la décision formelle de transférer l'activité ou l'entreprise précède les offres d'emploi aux employés;
s'assurer que les employés, qui sont liés étroitement à l'activité ou l'entreprise transférée, soient considérés pour des possibilités d'emploi dans l'organisation d'accueil;
prendre en considération les intérêts et les préférences des employés tout en tenant compte des exigences opérationnelles;
exercer les pouvoirs conférés par la présente politique conformément aux modalités de la Directive sur le réaménagement des effectifs, qui sont applicables au moment du transfert."
Pouvoirs,"Délégation

En vertu de l'alinéa 12(1) de la LGFP, les administrateurs généraux et leurs homologues :

sont autorisés à exercer le pouvoir de licencier un employé tel que prévu à l'alinéa 11(2)(g.1) de la LGFP,
ont le pouvoir de considérer qu'un employé a accepté une offre d'emploi tel que prévu à l'alinéa 11(2.02) de la LGFP,
sont responsables de l'exercice de ces pouvoirs conformément aux dispositions de la présente politique, et
peuvent modifier ou annuler toutes décisions, tel que requis.
Sous-délégation

Les administrateurs généraux peuvent sous-déléguer les pouvoirs ci-dessus à une ou plusieurs personnes qui relèvent d'eux."
Mise en oeuvre,"Accords provisoires

En vertu de l'article 29 de la Loi sur l'emploi dans la fonction publique, les employés touchés par le transfert d'une activité ou d'une entreprise, qui sont déclarés excédentaires avant la date d'entrée en vigueur de la présente politique, sont susceptibles d'être mis en disponibilité."
Surveillance,Le Secrétariat va surveiller la mise en oeuvre de cette politique par l'entremise de ses pratiques de surveillance actuelles de la Directive sur le réaménagement des effectifs.
Références,"Fondement législatif

La présente politique est émise conformément aux alinéas 11(2)(g.1) et 11(2.02) de la Loi sur la gestion des finances publiques.

Lois et directives pertinentes

Loi sur la gestion des finances publiques

Loi sur l'emploi dans la fonction publique

Loi sur les relations de travail dans la fonction publique

Directive sur le réaménagement des effectifs"
Renseignements,"Veuillez communiquer toute demande de renseignements au sujet de la présente politique aux agents responsables des administrations centrales des ministères qui pourront ensuite chercher à obtenir des interprétations auprès du groupe suivant :

Groupe de la restructuration de l'emploi et de la diversification
Division des relations de travail et de la gestion des ressources humaines
Direction des ressources humaines
Secrétariat du Conseil du Trésor
(613) 957-2672"
