New column 0,New column 1
1. Date d’entrée en vigueur,"1.1
La présente politique entre en vigueur le 1er octobre 2008.
1.1.1
Cette version de la politique intègre les mises à jour en vigueur le 1er avril 2022.
1.2
Considérations relatives à la transition :
1.2.1
Les modalités des programmes de paiements de transfert qui ont été approuvées avant la date d’entrée en vigueur de la présente politique demeurent en vigueur jusqu’à a) leur date d’expiration ou b) la date à laquelle une décision ait été prise relativement à leur continuation ou modification en vertu de la présente politique, selon celle de ces dates qui survient la première.
1.2.2
Toute entente de financement conclue avant la date d’entrée en vigueur de la présente politique demeure en vigueur jusqu’à sa date d’expiration. Toutefois, elle peut être modifiée par le ministère avec l’approbation du bénéficiaire afin de tenir compte des exigences de la présente politique."
2. Autorisation et pouvoirs,"2.1
La présente politique est établie en vertu du paragraphe 7 (1) de la Loi sur la gestion des financespubliques."
3. Contexte,"3.1
Les paiements de transfert représentent une grande partie des dépenses du gouvernement du Canada. Les résultats tangibles des paiements de transfert ont une incidence quotidienne sur la vie de la population canadienne et d’autres personnes dans tous les secteurs de la société. Les paiements de transfert incluent les subventions, les contributions et les autres paiements de transfert, y compris ceux versés aux autres ordres de gouvernement, à des organismes internationaux et aux peuples autochtones.
3.2
Les paiements de transfert constituent l’un des instruments essentiels dont dispose le gouvernement pour mettre de l’avant ses vastes objectifs et priorités. Les paiements de transfert favorisent et sollicitent la mobilisation de compétences et de ressources très diverses de l’extérieur du gouvernement fédéral.
3.3
Les programmes de paiements de transfert aident les bénéficiaires admissibles à entreprendre leurs activités ou leurs projets. Ces activités et projets contribuent à l’atteinte des objectifs et des résultats du programme de paiements de transfert ainsi qu’à celle des résultats ministériels.
3.4
Le gouvernement s’engage à s’assurer que les paiements de transfert sont conçus, mis en œuvre et gérés de façon intègre, responsable et transparente, et d’une manière centrée sur le bénéficiaire.
3.5
Le Cabinet détermine dans quelles situations les paiements de transfert constituent l’instrument à utiliser le plus approprié. Le Cabinet détermine également les objectifs et les résultats à atteindre au moyen des paiements de transfert, conformément aux autorisations législatives accordées par le Parlement.
3.6
La présente politique énonce clairement les rôles et les responsabilités du Conseil du Trésor, du président du Conseil du Trésor, du secrétaire du Conseil du Trésor, des ministres et des administrateurs généraux en ce qui concerne la conception, la mise en œuvre et la gestion des programmes de paiements de transfert.
3.7
Les exigences supplémentaires obligatoires sont énoncées dans les directives relatives aux subventions, aux contributions et aux autres paiements de transfert.
3.8
Le Conseil du Trésor a délégué au président du Conseil du Trésor le pouvoir d’émettre, de modifier ou d’abroger toute directive qui soutient la présente politique, et d’approuver toute exception à de telles directives, selon le besoin."
4. Objectifs et résultats attendus,"4.1
L’objectif de la présente politique consiste à s’assurer que les programmes de paiements de transfert sont conçus et mis en œuvre en tenant compte des priorités du gouvernement en vue d’atteindre les résultats escomptés pour la population canadienne, sont gérés de façon intègre, transparente et responsable en tenant compte des risques, et sont centrés sur les citoyens et les bénéficiaires.
4.2
La présente politique vise les résultats suivants :
4.2.1
Les rôles, les responsabilités et les obligations en matière de gestion des programmes de paiements de transfert sont clairement définis et compris par tous les ministères.
4.2.2
Les programmes de paiements de transfert sont conçus, mis en œuvre et gérés de manière à atteindre les résultats, à contribuer aux résultats ministériels, à tenir compte des risques et à démontrer clairement l’optimisation des ressources.
4.2.3
Les programmes de paiements de transfert sont soutenus par des systèmes efficaces et efficients de surveillance et de contrôle au niveau des ministères et à l’échelle du gouvernement.
4.2.4
Les programmes de paiements de transfert sont accessibles, compréhensibles et utilisables par les demandeurs et les bénéficiaires, y compris ce qui suit :
4.2.4.1
Les obligations administratives imposées aux demandeurs et aux bénéficiaires, qui sont nécessaires afin d’assurer un contrôle efficace, la transparence et la responsabilisation, sont proportionnelles au niveau de risques propres au programme, à la valeur du financement et au profil de risques des demandeurs et des bénéficiaires.
4.2.4.2
Les demandeurs et les bénéficiaires sont mobilisés afin de favoriser des idées novatrices, des améliorations continuelles et l’établissement de relations équitables, transparentes et positives avec eux.
4.2.4.3
Il y a collaboration au sein du ministère et entre les ministères en vue d’harmoniser les programmes de paiements de transfert et d’uniformiser leur administration, lorsqu’approprié."
5. Exigences,"5.1
Le Conseil du Trésor a les responsabilités suivantes :
Conception
5.1.1
Approuver les modalités des nouveaux programmes de paiements de transfert, sauf dans les situations où un ministre est autorisé, y compris en vertu d’une loi, à établir ces modalités.
5.1.2
Approuver les modifications des modalités des programmes de paiement de transfert existants, sauf lorsqu’un ministre est autorisé, en vertu de la présente politique ou d’une loi, à modifier ces modalités.
5.1.3
Approuver les ententes de financement lorsque le Conseil du Trésor l’exige ou en fonction des directives qui accompagnent la présente politique, ou lorsque le président du Conseil du Trésor le recommande.
5.1.4
Utiliser des examens périodiques des dépenses, comme des examens d’alignement des ressources, pour examiner la continuation, la modification ou la résiliation des programmes de paiements de transfert.
5.1.5
Approuver les exceptions aux modalités, sauf lorsqu’un ministre est autorisé à approuver ces exceptions en vertu des paragraphes 5.3.7 et 5.3.8 de la présente politique.
5.2
Le président du Conseil du Trésor a les responsabilités suivantes :
Conception
5.2.1
Recommander au Conseil du Trésor qu’un ministre doit demander l’approbation du Conseil du Trésor pour la continuation, la modification ou la résiliation des modalités de n’importe quel programme de paiements de transfert existant.
5.2.2
Recommander au Conseil du Trésor qu’un ministre doit demander l’approbation du Conseil du trésor pour une entente de financement.
5.2.3
Recommander au Conseil du Trésor qu’un ministre doit demander l’approbation du Conseil du trésor pour une exception aux modalités de n’importe quel programme de paiements de transfert existant.
5.3
Les ministres ont les responsabilités suivantes :
Conception
5.3.1
Approuver la continuation ou la résiliation des modalités.
5.3.2
Approuver des modifications mineures aux modalités.
5.3.3
Déléguer à l’administrateur général l’approbation des modifications mineures des modalités, lorsqu’approprié.
5.3.4
Approuver les modifications apportées aux éléments des modalités indiqués ci-dessous :
5.3.4.1
Les activités, les initiatives ou les projets admissibles;
5.3.4.2
La catégorie de bénéficiaires admissibles;
5.3.4.3
Le montant maximal payable à un bénéficiaire;
5.3.4.4
La limite sur le cumul de l’aide;
5.3.4.5
Les modifications qui donnent effet à une décision ou à une orientation du Cabinet.
5.3.5
Fournir de l’information à la présidente ou au président du Conseil du Trésor lorsqu’elle ou il il prend des mesures en vertu du paragraphe 5.3.4.
5.3.6
Demander l’approbation du Conseil du Trésor pour les modifications des éléments des modalités ci-dessous :
5.3.6.1
Les objectifs de programmes;
5.3.6.2
Le remboursement de contributions remboursables;
5.3.6.3
Le financement pluriannuel initial.
5.3.7
Approuver, sous réserve de l’énoncé des crédits, une exception aux modalités afin de verser à un bénéficiaire en particulier un paiement de transfert dont le montant est tout au plus 25 % de plus que le montant maximal autorisé par les modalités approuvées.
5.3.8
Approuver, au cas par cas, une exception aux modalités qui exigent que le bénéficiaire rembourse une contribution remboursable, lorsque le financement accordé est inférieur à 250 000 $.
5.3.9
Fixer l’orientation stratégique de tolérance au risque pour les programmes de paiements de transfert du ministère.
5.4
Les administrateurs généraux ont les responsabilités suivantes :
Généralités
5.4.1
S’assurer que les programmes de paiements de transfert sont conçus, mis en œuvre et gérés de manière à ce qu’ils soient accessibles, compréhensibles et utilisables par les demandeurs et les bénéficiaires.
5.4.2
S’assurer que les programmes de paiements de transfert sont conçus et mis en œuvre de manière à être inclusifs, à tenir compte des différences entre les genres et de la diversité et à répondre aux objectifs et aux priorités des politiques du gouvernement.
5.4.3
S’assurer que, lorsque les programmes de paiements de transfert soutiennent des activités au profit des membres des communautés des deux langues officielles, que leur conception et leur mise en œuvre respectent les obligations du gouvernement du Canada selon la partie VII de la Loi sur les langues officielles et que les services et les avantages seront accessibles dans les deux langues officielles conformément à la Loi sur les langues officielles.
5.4.4
S’assurer que des processus et procédures ministériels sont en place pour appuyer la conception, la mise en œuvre et la gestion des paiements de transfert.
Conception
5.4.5
S’assurer que les programmes de paiements de transfert du ministère sont, et demeurent, pertinents et efficaces en ce qui concerne l’atteinte des résultats ministériels et des objectifs du gouvernement.
5.4.6
Faire participer les demandeurs et les bénéficiaires, lorsqu’approprié, dans le but d’atteindre l’objectif et les résultats escomptés de la présente politique grâce à des programmes de paiements de transfert novateurs et efficients centrés sur les citoyens et les bénéficiaires.
5.4.7
Recommander la continuation, la modification ou la résiliation des modalités d’un programme de paiements de transfert en fonction des constatations des éléments suivants :
5.4.7.1
Évaluations pertinentes; et/ou
5.4.7.2
Examens d’alignement des ressources pertinents.
5.4.8
S’assurer que chaque programme de paiements de transfert est indiqué dans un ou plusieurs profils de l’information sur le rendement au moment de la conception du programme, et que le programme est maintenu et actualisé tout au long de son cycle de vie pour appuyer efficacement l’évaluation ou l’examen de la pertinence et de l’efficacité de chaque programme de paiements de transfert.
5.4.9
Assurer, lorsqu’approprié, l’harmonisation des programmes de paiements de transfert au sein du ministère et en collaboration avec d’autres ministères.
5.4.10
Approuver des modifications mineures apportées aux modalités lorsque cette mesure est autorisée par le ministre en vertu du paragraphe 5.3.3.
5.4.11
Consulter le secrétaire du Conseil du Trésor lorsqu’un ministre a l’intention d’agir selon le paragraphe 5.3.4.
Mise en œuvre et gestion
5.4.12
S’assurer que les exigences administratives imposées aux bénéficiaires, en particulier en matière de rapports, de surveillance et de vérification des bénéficiaires, sont proportionnelles aux risques propres aux éléments suivants :
5.4.12.1
Le programme de paiements de transfert;
5.4.12.2
La valeur du financement par rapport aux coûts administratifs;
5.4.12.3
Le profil de risque des demandeurs et des bénéficiaires.
5.4.13
S’assurer que des occasions sont saisies pour uniformiser l’administration des processus, des procédures et des exigences en matière de paiements de transfert au sein du ministère et avec d’autres ministères, lorsqu’approprié, afin d’améliorer l’administration des programmes de paiements de transfert pour les demandeurs, les bénéficiaires et le ministère.
Transparence
5.4.14
S’assurer que toutes les exceptions relatives aux paragraphes 5.3.7 et 5.3.8 de la présente politique qui ont été approuvées par le Conseil du Trésor ou le ministre sont affichées sur le site Web du ministère dans les 30 jours suivant la date d’approbation.
Contrôle et surveillance
5.4.15
S’assurer que les paiements de transfert ne sont ni versés à un ministère tel que défini à l’article 2 de la Loi sur la gestion des finances publiques ni ne servent à financer les besoins de fonctionnement courants ou en capital d’une société d’État.
5.4.16
Surveiller la conformité à la présente politique et aux directives qui l’accompagnent grâce à des audits et à d’autres évaluations périodiques afin d’assurer la mise en œuvre efficace de la présente politique et des directives qui l’accompagnent.
5.4.17
Enquêter et agir lorsque des problèmes surviennent en ce qui concerne l’observation de la politique, et s’assurer que des mesures correctives appropriées sont prises pour régler ces problèmes au ministère.
5.5
Le secrétaire du Conseil du Trésor a les responsabilités suivantes :
Conception
5.5.1
Recommander au président du Conseil du Trésor, à la suite de consultations aux termes du paragraphe 5.4.11 de la présente politique ou autrement, que le ministre, lui-même ou par l’entremise du ministre responsable, doit obtenir l’approbation du Conseil du Trésor pour la continuation, la modification ou la résiliation des modalités d’un programme de paiements de transfert.
5.5.2
Recommander au président du Conseil du Trésor qu’un ministre doit demander l’approbation du Conseil du Trésor pour une entente de financement.
5.5.3
Recommander au président du Conseil du Trésor qu’un ministre doit demander l’approbation du Conseil du Trésor pour des exceptions aux modalités.
Contrôle et surveillance
5.5.4
Contrôler, fournir des orientations et recommander des mesures correctives en ce qui concerne la conformité à la présente politique et aux instruments qui l’accompagnent.
Leadership
5.5.5
Assurer un leadership et fournir un soutien afin de promouvoir et de faciliter la collaboration entre les ministères en vue de favoriser l’harmonisation des programmes de paiements de transfert dans l’ensemble du gouvernement, l’uniformisation des processus, procédures et exigences administratifs et la mise en commun de pratiques exemplaires.
5.5.6
Exercer un leadership pour le développement de communautés d’intervenants fédéraux participant à la conception, à la mise en œuvre et à la gestion des programmes de paiements de transfert.
5.5.7
Établir un cadre pour l’examen de la présente politique et des directives qui l’accompagnent."
6. Rôle des autres organisations gouvernementales,"6.1
Sans objet."
7. Application,"7.1
La présente politique s’applique aux ministères au sens de l’article 2 de la Loi sur la gestion des finances publiques, sauf si des lois, des règlements ou des décrets les en excluent."
8. Conséquences de la non-conformité,"8.1
Pour obtenir une description des conséquences de la non-conformité, consultez le Cadre stratégique sur la gestion de la conformité (appendice C : tableau des conséquences pour les institutions et appendice D : tableau des conséquences pour les personnes)."
9. Références,"9.1
Lois
9.1.1
Loi sur la gestion des finances publiques
9.1.2
Loi sur les langues officielles
9.1.3
Loi canadienne sur la budgétisation sensible aux sexes
9.1.4
Loi canadienne sur l’accessibilité
9.1.5
Lois sur l’accès à l’information
9.1.6
Loi sur la protection des renseignements personnels
9.1.7
Loi sur les conflits d’intérêts
9.1.8
Loi sur le lobbying
9.2
Instruments de politique connexes
9.2.1
Cadre fondamental des politiques du Conseil du Trésor
9.2.2
Politique sur la gestion financière
9.2.3
Politique sur les résultats
9.2.4
Politique sur les services et le numérique
9.2.5
Politique sur l’audit interne
9.2.6
Cadre stratégique sur la gestion de la conformité
9.3
Autres publications du gouvernement
9.3.1
Code de déontologie des lobbyistes
9.3.2
Code de valeurs et d’éthique du secteur public
9.3.3
Stratégie pour un gouvernement vert"
10. Demandes de renseignements,"10.1
Les membres du public peuvent communiquer avec le personnel chargé des demandes de renseignements du Secrétariat du Conseil du Trésor du Canada s’ils ont des questions à propos de la présente politique.
10.2
Les représentants des ministères doivent communiquer avec leur dirigeant principal des finances ou leur centre d’expertise ministériel en matière de paiements de transfert pour toute question au sujet de la présente politique.
10.3
Les dirigeants principaux des finances ou les représentants d’un centre d’expertise ministériel en matière de paiements de transfert peuvent communiquer avec les conseillers en gestion financière pour obtenir une interprétation de la présente politique."
