New column 0,New column 1
1. Date d'entrée en vigueur,1.1 La politique entre en vigueur le 1er avril 2009.
2. Application,"2.1 La politique s'applique à l'administration publique centrale au sens de l'article 11 de la Loi sur la gestion des finances publiques, sauf si des lois, des règlements ou des décrets ont préséance."
3. Contexte,"3.1 L'application uniforme et exacte des conditions d'emploi représente un élément essentiel de la gestion efficace des ressources humaines car elle permet de recruter, de garder en poste, de motiver et de contribuer au renouvellement de l'effectif de l'administration publique centrale. Les administrateurs généraux doivent rendre compte à leur ministre respectif et au Secrétariat du Conseil du Trésor pour la gestion efficace des ressources humaines, en ce qui concerne l'administration des conditions d'emploi dans leur organisation respective.

3.2 Les conditions d'emploi visant les personnes nommées à l'administration publique centrale sont énoncées dans les conventions collectives applicables et d'autres lois, et elles sont complétées par d'autres instruments de politique connexes.

3.3 La présente politique est émise conformément aux articles 7 et 11.1 de la Loi sur la gestion des finances publiques.

3.4 Le Conseil du Trésor a donné au président du Conseil du Trésor la délégation de modifier les directives suivantes :

Directive sur les conditions d'emploi
Directive sur les congés et les modalités de travail spéciales
Directive sur les conditions d'emploi de certains employés exclus/ou non représentés
Directive sur les cotisations syndicales

3.5 Le Conseil du Trésor a donné au président du Conseil du Trésor la délégation d'émettre et de modifier la :

Directive sur l'administration de la rémunération au rendement de certains niveaux supérieurs exclus et non-représentés (en cours d'élaboration)

3.6 La politique doit être interprétée dans le contexte des documents suivants :

Politique sur l'apprentissage, la formation et le perfectionnement
Conventions collectives
Politique de gestion des cadres supérieurs
Directive sur les conditions d'emploi
Directive sur les congés et les modalités de travail spéciales
Directive sur les conditions d'emploi certains employés exclus ou non représentés
Politique sur l'administration de la rémunération au rendement de certains niveaux supérieurs exclus non compris dans la catégorie de gestion
Rémunération au rendement pour les employés représentés de la catégorie de l'administration et du service extérieur
Régime d'administration des traitements - Groupe d'enseignement universitaire
Politique sur l'administration des traitements - Groupe du droit du Ministère de la Justice et autres conseillers juridiques exclus
Politique sur l'administration des traitements - Sous-groupe des agents de médiation et de conciliation
Groupe des services scientifiques de la défense - Régime de rémunération
Conditions d'emploi pour les étudiants
Service à l'extérieur du Canada
Personnel recruté sur place à l'étranger"
4. Définitions,4.1 Les définitions des termes utilisés dans la présente politique figurent à l'annexe.
5. Énoncé de la politique,"5.1 Objectif

La politique a pour objet d'assurer l'administration saine, uniforme et efficace des conditions d'emploi dans toute l'administration publique centrale.

5.2 Résultats attendus

Les résultats attendus de la politique sont les suivants :

les conditions d'emploi sont appliquées avec équité, exactitude, cohérence, transparence et en temps utile;
les personnes reçoivent une rémunération monétaire et non monétaire qui correspond à leurs conditions d'emploi pertinentes."
6. Exigences de la politique,"6.1 Exigences imposées aux administrateurs généraux pour l'application et l'administration des conditions d'emploi
mettre en place des structures organisationnelles et assurer l'affectation de ressources suffisantes pour aider les administrateurs généraux à appuyer la prestation efficace et rapide des services liés à l'administration et à l'application des conditions d'emploi, y compris l'instrument ministériel de délégation, au besoin;
s'assurer que les systèmes de ressources humaines des ministères soient compatibles avec les systèmes de Travaux publics et Services gouvernementaux Canada et d'autres systèmes de l'administration publique centrale, et qu'ils y soient intégrés.
6.2 Exigences de surveillance et de déclaration

6.2.1 Il incombe aux administrateurs généraux de surveiller le rendement de leur organisation en matière d'application et d'administration des conditions d'emploi, par les moyens suivants :

évaluer la structure de prestation des services, l'affectation des ressources, les compétences des ressources humaines et les indicateurs de rendement, de même que les systèmes, les processus et les procédures des ressources humaines pour réagir de manière efficace aux lacunes existantes et éventuelles;
informer le Secrétariat du Conseil du Trésor du Canada de tout problème ou de toute préoccupation importante concernant l'administration des conditions d'emploi;
selon le besoin, fournir au Secrétariat du Conseil du Trésor des renseignements jugés nécessaires à l'évaluation de la conformité à la présente politique, aux directives connexes et à d'autres instruments de politique, par exemple, des renseignements concernant des situations particulières relatives aux nouvelles recrues, au congé de maternité, à des promotions, à des licenciements et à des congés payés ou non payés;

6.2.2 Il incombe au Secrétariat du Conseil du Trésor d'évaluer le rendement des ministères en matière d'administration des conditions d'emploi, ainsi que la conformité à la présente politique et aux instruments de politique connexes, par les moyens suivants :

examiner, si nécessaire, les constatations des rapports de surveillance des ministères et le plan de mesures correctives qui en découle;
surveiller l'utilisation des congés par les ministères en consultant des rapports générés par les systèmes d'information de l'Agence de la fonction publique du Canada comme le Système de rapports sur les congés et le Système des congés non payés;
surveiller les rapports et les données extraits du système de rémunération de Travaux publics et Services gouvernementaux Canada, dont ceux ayant trait aux renseignements sur l'emploi (par exemple, les salaires, les allocations et les heures de travail) et aux données sur le traitement de la paye.

6.3 À la cinquième année de la mise en œuvre, le Secrétariat du Conseil du Trésor examinera la présente politique afin de déterminer si elle est efficace et, lorsqu'une analyse des risques le justifie, il en effectuera une évaluation."
7. Conséquences,"7.1 Le Secrétariat du Conseil du Trésor peut augmenter le niveau de surveillance lorsque les renseignements recueillis de sources pertinentes soulèvent des préoccupations à l'égard de la non-conformité aux instruments de politique. Si la situation le justifie, le Secrétariat du Conseil du Trésor peut demander la tenue de vérifications ou d'examens spéciaux et, s'il y a lieu, demander aux administrateurs généraux de prendre des mesures correctives.

7.2 Les ministères sont tenus de payer, à partir de leurs budgets ministériels existants, les coûts associés à des erreurs ou à l'application inadéquate des conditions d'emploi."
8. Rôles et responsabilités des organisations gouvernementales,"8.1 Secrétariat du Conseil du Trésor du Canada

8.1.1 Le Secrétariat du Conseil du Trésor soutient le Conseil du Trésor dans l'exercice de son rôle en tant qu'employeur responsable des fonctions suivantes :

déterminer et réglementer la paye, les heures de travail, les dispositions relatives aux congés et d'autres conditions d'emploi;
conclure des conventions collectives avec un agent négociateur représentant une unité de négociation.

8.1.2 Le Secrétariat du Conseil du Trésor soutient les administrateurs généraux et les personnes nommées dans leurs organisations à qui a été confiée l'administration des conditions d'emploi par les moyens suivants :

en leur fournissant l'orientation, les lignes directrices, les outils et la formation nécessaires relativement à la présente politique et aux instruments de politique qui s'y rattachent;
en assumant un rôle de leader communautaire qui préconise l'échange de l'information et qui encourage les pratiques exemplaires.
8.2 Travaux publics et Services gouvernementaux Canada

8.2.1 Il incombe à Travaux publics et Services gouvernementaux Canada, en vertu de l'article 12 de la Loi sur le ministère des Travaux publics et des Services gouvernementaux, d'assurer les services administratifs, de même que les autres types de services requis pour la paye. Ces services englobent, mais sans s'y limiter :

la délivrance et la réconciliation des chèques du receveur général et des paiements par dépôt direct;
l'élaboration, le fonctionnement et le maintien d'un système de rémunération, tel qu'il est précisé dans le Décret sur les services administratifs de paye;
l'élaboration et la prestation de programmes de formation sur l'exécution des fonctions techniques de la rémunération;
la production de données officielles sur la rémunération des employés."
9. Références,"9.1 Lois, règlements et décrets :
Loi sur la gestion des finances publiques
Loi sur les relations de travail dans la fonction publique
Loi sur l'emploi dans la fonction publique
Loi sur la pension de la fonction publique
Loi sur le ministère des Travaux publics et des Services gouvernementaux
Loi sur la saisie-arrêt et la distraction de pensions
Loi sur l'indemnisation des agents de l'État
Loi sur la protection des renseignements personnels
Décret sur les services administratifs de paye
Règlement sur les avances comptables
Règlement sur l'émission des chèques (1997)
Règlement sur le paiement électronique
9.2 Instruments de politique connexes :
Cadre principal des politiques du Conseil du Trésor
Cadre des politiques de gestion de la rémunération
Ordonnance d'application des conventions collectives dans la fonction publique"
10. Demandes de renseignements,"Veuillez vous adresser à l'administration centrale de votre ministère pour toute question concernant la présente politique. Pour l'interprétation de la politique, les fonctionnaires à l'administration centrale doivent communiquer avec :

Gestion de la rémunération dans l'administration publique centrale
Rémunération et relations de travail
Bureau du dirigeant principal des ressources humaines
Secrétariat du Conseil du Trésor du Canada

Courriel: Interpretations@tbs-sct.gc.ca"
