New column 0,New column 1
1. Date d'entrée en vigueur,1.1 Le présent Cadre entre en vigueur le 1er avril 2009.
2. Objectifs,"2.1 Le présent Cadre pour la gestion de la conformité a été conçu aux fins suivantes :

2.1.1 définir clairement les rôles du Conseil du Trésor, du Portefeuille du Conseil du Trésor et des institutions quant à la surveillance et à la gestion de la conformité, selon les prescriptions juridiques et exigences des politiques du Conseil du Trésor;

2.1.2 contribuer à faire en sorte que les interventions en cas de non­conformité soient gérées de façon appropriée et cohérente;

2.1.3 supporter l'identification et le partage des stratégies de gestion de la conformité;

2.1.4 établir un lien entre l'apprentissage, le perfectionnement et la gestion de la conformité

2.1.5 favoriser l'innovation et la prise de risques éclairés afin d'atteindre les résultats visés."
3. Contexte,"3.1 L'excellence dans la gestion de la fonction publique, comme il est établi dans le Cadre de responsabilisation de gestion du Conseil du Trésor et les codes de conduite qui s'applique, s'atteint par des pratiques de gestion novatrices, éthiques et concertées définies en grande partie, mais non pas exclusivement, dans les politiques. Les fonctionnaires comprennent l'importance de l'excellence dans la gestion de la fonction publique et s'efforcent de respecter les politiques, les règles et les normes qui soutiennent et distinguent leurs décisions et actions. Ils témoignent des valeurs et des principes éthiques les plus élevés dans leur travail pour servir les Canadiens et Canadiennes.

3.2 La gestion de la conformité comprend l'élaboration de règles pertinentes connues, comprises et suivies, pour lesquelles les conséquences d'un non-respect sont claires et proportionnées au risque et au contexte. La gestion de la conformité est un domaine de responsabilité partagée où le Conseil du Trésor et les décideurs gouvernementaux doivent s'assurer que les règles sont claires et cohérentes, et où les fonctionnaires doivent connaître et comprendre les règles et les respecter.

3.3 Un des principes de la gestion du secteur public veut que les mesures prises pour atteindre un objectif soient aussi importantes que l'objectif même. Les prescriptions juridiques et les exigences des politiques du Conseil du Trésor, dont les codes de conduite qui s'appliquent, définissent une norme de comportement et de conduite minimale qui, selon les législateurs et les ministres, est nécessaire pour préserver la confiance du public.

3.4 Le Cadre pour la gestion de la conformité, ainsi que le Cadre principal des politiques du Conseil du Trésor et le Cadre de gestion du risque, est un des éléments architecturaux clés de l'ensemble de politiques du Conseil du Trésor. Il établit les principes de gestion de la conformité s'appliquant à tous les instruments de l'ensemble de politiques du Conseil du Trésor. Ces principes sont mis en évidence dans une série proposée de points que les administrateurs généraux et le Portefeuille du Conseil du Trésor devraient normalement prendre en considération lorsqu'ils décident des mesures à prendre en cas de non­conformité aux prescriptions juridiques et aux exigences des politiques du Conseil du Trésor et en informant le Conseil du Trésor.

3.5 Des exemples de conséquences en cas de non-conformité figurent dans le cadre (annexes C et D) et témoignent du fait que les décisions concernant les mesures appropriées à prendre en cas de non­conformité peuvent être à la fois complexes et délicates et qu'il faut procéder à un examen au cas par cas. Ces exemples s'ajoutent aux conséquences prévues dans les différents instruments de politiques du Conseil du Trésor et les précisent.

3.6 En raison de la taille et de la complexité du gouvernement ainsi que du nombre et de l'amplitude des prescriptions juridiques et des exigences des politiques, il est parfois difficile de faire preuve d'une conformité immédiate intégrale. Le Conseil du Trésor prévoit et convient que les institutions et les employés respectent les nouvelles exigences des politiques du Conseil du Trésor dans des délais raisonnables et qu'une période de transition est requise à cette fin.

3.7 La non-conformité, le cas échéant, peut être attribuable à divers facteurs, notamment ceux qui suivent : connaissances et formation insuffisantes; lacunes quant à la supervision; interprétation et application inexactes et incomplètes des politiques; et, dans certaines circonstances, comportement coupable.

3.8 La gestion de la conformité au gouvernement établit une différence entre un comportement non coupable et un comportement coupable. On devrait remédier aux erreurs involontaires en réalignant les comportements et en améliorant le rendement par rapport aux normes et aux objectifs attendus. En revanche, les comportements coupables ne seront pas tolérés et des mesures correctrices (y compris des mesures disciplinaires) seront prises, si elles sont justifiées.

3.9 Une approche robuste en gestion de la conformité définit les meilleures méthodes (y compris la formation et l'apprentissage) pour harmoniser les comportements avec les attentes. Elle soutient la créativité et l'innovation, et dispense de la rétroaction pour réévaluer, peaufiner et élaborer continuellement les prescriptions juridiques et exigences des politiques du Conseil du Trésor."
4. Définitions,4.1 Les définitions utilisées pour l'interprétation du présent cadre se trouvent à l'annexe A.
5. Lien avec les autres cadres du Conseil du Trésor,"5.1 Le Cadre pour la gestion de la conformité abonde dans le sens du Cadre de responsabilisation de gestion, complète le « Cadre principal des politiques du Conseil du Trésor », en particulier la sous-section 5.4, qui traite de la surveillance et des conséquences, et sert de base pour la gestion de la conformité avec laquelle sont mis en harmonie les autres cadres et instruments de politiques obligatoires du Conseil du Trésor."
6. Portée,"6.1 Le Cadre pour la gestion de la conformité est à caractère systémique et couvre les prescriptions juridiques et les exigences des politiques du Conseil du Trésor.

6.2 Même si le Cadre n'est conçu ni pour modifier les conséquences relatives à certains cas de non­conformité ni pour ajouter des mesures particulières, il représente un énoncé d'intention visant les institutions et les personnes qui les représentent. Le Cadre suppose que toutes les personnes auxquelles les prescriptions juridiques et les exigences des politiques du Conseil du Trésor s'appliquent sont collectivement chargées du respect de ces prescriptions et exigences.

6.3 À titre d'administrateurs des comptes, les administrateurs généraux doivent connaître toutes les prescriptions juridiques et exigences des politiques s'appliquant à leurs institutions respectives, même celles qui débordent le présent Cadre."
7. Principes,"7.1 La gestion efficace de la conformité repose sur la présence de gestionnaires et d'employés bien informés à tous les niveaux d'une institution. Elle repose aussi sur la capacité de gérer pour que la visée et l'esprit des politiques soient reflétés dans la culture de gestion et dans le plan général visant à assurer l'excellence en gestion par rapport aux attentes établies dans le Cadre de responsabilisation de gestion. Pour préciser, le présent cadre pour la gestion de la conformité se fonde sur les principes ou éléments préalables suivants, qui ont pour objet d'assurer une conformité optimale :

7.1.1 Les prescriptions juridiques et les exigences des politiques du Conseil du Trésor sont claires et cohérentes et reflètent une approche axée sur les risques pour gérer la conformité.

7.1.2 Les prescriptions juridiques et les exigences des politiques du Conseil du Trésor sont intégrées aux processus et aux procédures d'approbation et aux systèmes de contrôle des institutions.

7.1.3 Tous les membres de l'institution sont au courant des prescriptions juridiques et des exigences des politiques du Conseil du Trésor qui se rapportent à leurs domaines décisionnels respectifs. Ils connaissent l'information pertinente et y ont accès afin de prendre des décisions qui reflètent les prescriptions juridiques et les exigences des politiques du Conseil du Trésor. Ils comprennent ces prescriptions et exigences et peuvent donc plus facilement s'entendre sur la nécessité de la conformité.

7.1.4 Le respect des prescriptions juridiques et des politiques du Conseil du Trésor est surveillé, principalement selon une méthode axée sur les risques.

7.1.5 Les cas potentiels de non­conformité font l'objet d'un examen.

7.1.6 Des correctifs pertinents sont apportés dans les cas réels de non­conformité."
8. Responsabilités de base pour la gestion de la conformité,"8.1 Les administrateurs généraux sont responsables notamment des éléments suivants :

8.1.1 Personnifier les valeurs et principes éthiques de la fonction publique et favoriser une culture organisationnelle témoignant des valeurs énoncées dans les codes de conduite du Conseil du Trésor qui s'appliquent;

8.1.2 Assurer la conformité aux prescriptions juridiques et aux exigences des politiques du Conseil du Trésor au sein de leurs institutions tout en favorisant un environnement propice à l'innovation et à la prise de risques informés afin de dispenser une meilleure valeur aux Canadiens et aux Canadiennes;

8.1.3 Assurer une application équitable, uniforme et transparente des pratiques concernant les relations de travail dans leurs institutions;

8.1.4 Veiller à ce que les employés aient reçu une formation adéquate et aient accès aux possibilités d'apprentissage et à l'information pertinente requises pour se sensibiliser aux prescriptions juridiques et aux exigences des politiques du Conseil du Trésor et mieux les connaître;

8.1.5 S'inscrivant dans les saines pratiques de gestion des ressources humaines, veiller à ce que la gestion du rendement s'harmonise avec les priorités et les plans d'entreprise du gouvernement, ce qui comprend les considérations liées à la conformité. Les administrateurs généraux sont invités à consulter les politiques sur la gestion du rendement, et les directives et lignes directrices connexes pour savoir quels outils sont mis à leur disposition pour régler les problèmes liés à la gestion du rendement;

8.1.6 Établir de solides modalités de contrôle interne et de saines pratiques de gestion qui sont transparentes, comprises et soutenues au sein de l'institution;

8.1.7 Surveiller les pratiques de gestion interne et, en cas de problèmes, prendre les mesures nécessaires pour maintenir de solides modalités de contrôle interne;

8.1.8 Prendre les mesures correctives qui s'imposent afin de rétablir la conformité; et,

8.1.9 Informer le secrétaire du Conseil du Trésor de toute information ou raison portant à croire à un non-respect important d'une prescription juridique ou d'une exigence stratégique du Conseil du Trésor qui pourrait nuire à l'institution ou au gouvernement ou qui pourrait avoir des répercussions négatives sur eux.

8.2 Le Portefeuille du Conseil du Trésor est responsable des éléments suivants :

8.2.1 Évaluer le niveau de respect des prescriptions juridiques et des exigences des politiques du Conseil du Trésor à l'échelle du gouvernement et prendre les mesures appropriées pour aligner les comportements avec ces exigences. Pour ce faire, le Portefeuille du Conseil du Trésor utilisera l'information issue des diverses sources énumérées à la section 10.1;

8.2.2 S'assurer que les instruments de politique du Conseil du Trésor sont clairs et cohérents et qu'ils reflètent dûment les risques;

8.2.3 Concevoir des méthodes de formation et d'apprentissage visant à mieux faire connaître les prescriptions juridiques et les exigences des politiques du Conseil du Trésor;

8.2.4 Déterminer des pratiques efficaces destinées à favoriser l'amélioration et l'uniformité de la gestion de la conformité à l'échelle du gouvernement et partager des exemples à ce sujet; et,

8.2.5 Formuler des conseils au Conseil du Trésor relativement aux mesures de suivi qui peuvent s'imposer afin de fournir une intervention approfondie à des situations mettant en cause la non-conformité.

8.3 Les gestionnaires et les employés sont chargés de prendre les mesures nécessaires pour se tenir au courant des prescriptions juridiques et des exigences des politiques du Conseil du Trésor s'appliquant à leurs domaines décisionnels et de tirer parti des possibilités de formation et d'éducation qui sont offertes."
9. Intervenir en cas de non­conformité,"Administrateurs généraux

9.1 Lorsqu'ils interviennent en cas de non­conformité, les administrateurs généraux doivent s'assurer que la nature et la sévérité des conséquences sont proportionnées à la nature de la non­conformité. L'intervention complète peut comprendre plusieurs conséquences différentes pouvant inclure des éléments liés à l'apprentissage et au perfectionnement, au rendement, à la discipline, à la communication à l'organisme d'application de la loi compétent de rapports sur les soupçons d'infraction, à des mesures institutionnelles, ainsi qu'à des conséquences particulières qui peuvent être décrites dans des exigences juridiques, les codes de conduite applicables et les instruments de politique individuels du Conseil du Trésor.

9.2 Un administrateur général qui se penche sur l'ensemble des conséquences possibles doit tenir compte de nombreux critères, y compris ceux qui sont décrits ci-dessous :

9.2.1 Quelles sont les répercussions? Cette question concerne la gravité du préjudice réel ou présumé, notamment les répercussions sur les ressources, l'effectif, la réputation du gouvernement et les actifs, y compris en ce qui a trait aux pertes, au gaspillage et à la mauvaise affectation de fonds, soit le fait d'établir si un gain personnel est intervenu;

9.2.2 Existe-t-il des antécédents liés à la non­conformité? Les antécédents quant à la non­conformité devraient être examinés, y compris les cas antérieurs et la gravité de ces cas de non­conformité. Il est également nécessaire de déterminer si la non­conformité est attribuable à une seule personne ou à une seule unité organisationnelle au sein de l'institution, ou s'il s'agit d'un problème systémique;

9.2.3 La non­conformité était-elle délibérée? S'agissait-il d'un comportement coupable ou non coupable? Il faut examiner si on a agi en connaissance de cause et si on a contrevenu délibérément aux prescriptions juridiques ou aux exigences des politiques; et,

9.2.4 Y a-t-il d'autres circonstances? Il faut se demander si, dans les cas de non­conformité, le bien public, notamment les intérêts des contribuables, a été servi ou desservi au bout du compte.

9.3 Pour prendre connaissance des exigences et de conseils particuliers concernant :

9.3.1 L'apprentissage et le perfectionnement : les administrateurs généraux sont priés de consulter la « Politique en matière d'apprentissage, de formation et de développement » ainsi que les directives et lignes directrices connexes, en accordant une attention particulière aux normes relatives aux connaissances et à la formation requise;

9.3.2 Les mesures institutionnelles: Les administrateurs généraux devraient consulter les politiques appropriées du Conseil du Trésor pour rédiger une réponse lorsqu'ils règlent des problèmes internes de l'institution, comme les structures de gestion et les systèmes de contrôle. De plus, les administrateurs généraux pourraient vouloir consulter le Portefeuille du Conseil du Trésor lorsqu'ils formulent des options;

9.3.3 Le recours à des mesures disciplinaires ou administratives ou lorsque la présence de l'employé ou des employés au bureau peut nuire ou faire obstacle à l'enquête : les administrateurs généraux doivent consulter la Politique sur les relations de travail et les lignes directrices connexes (Lignes directrices concernant la discipline, Lignes directrices sur la rétrogradation ou le licenciement pour autres motifs). Ces instruments définissent une gamme de mesures administratives et disciplinaires possibles réparties sur une échelle progressive permettant d'adapter la mesure à prendre aux circonstances; et

9.3.4 Les mesures à prendre s'ils soupçonnent qu'il y a eu activité criminelle : les administrateurs généraux doivent consulter la Politique du gouvernement sur la sécurité et les directives connexes.

9.4 Outre la détermination du niveau et du type de conséquence qui pourraient être justifiés, les administrateurs généraux doivent aussi examiner la façon dont la non­conformité a été mise au jour afin d'évaluer l'efficacité des systèmes de contrôle interne et de déterminer s'il y a des problèmes de rendement en matière de gestion à régler au sein de l'institution.

Portefeuille du Conseil du Trésor

9.5 Lorsqu'il se penche sur de graves cas de non­conformité, le Portefeuille du Conseil du Trésor doit se servir des questions figurant à la section 9.2 du présent cadre et des autres questions suivantes, afin d'évaluer la pertinence des mesures prises par l'administrateur général et pour déterminer si des conséquences doivent être envisagées par le Conseil du Trésor :

9.5.1 La conformité a-t-elle été rétablie? Les mesures prises pour rétablir la conformité doivent être examinées et, si la conformité n'a pas été restaurée, les risques auxquels le gouvernement s'expose doivent être dûment atténués.

9.5.2 Quelles sont les mesures prises par l'administrateur général pour diminuer les risques de récurrence? La probabilité de récurrence est-elle élevée? Dans l'affirmative, quels sont les risques auxquels s'expose le gouvernement en cas de récurrence?

9.5.3 Quel est le niveau général de rendement de l'institution sur le plan de la gestion? Il faut déterminer si le cas de non­conformité témoigne d'un éventuel problème systémique au sein de l'institution ou si c'est un incident isolé. Il faut également se demander si, dans l'ensemble, l'institution est considérée comme exerçant bien ses fonctions de gestion ou si elle a accompli des progrès satisfaisants pour améliorer ses fonctions de gestion.

9.6 Les conséquences déterminées par le Conseil du Trésor et son Portefeuille sont mises en œuvre pour aider l'administrateur général à rétablir la conformité au sein de l'institution ou à atténuer les risques et les frais associés aux lacunes en matière de contrôle, à une mauvaise gestion ou à des actes répréhensibles, jusqu'à ce que les contrôles et la conformité soient restaurés.

9.7 Si l'information disponible ne permet pas de répondre à ces questions, le Portefeuille du Conseil du Trésor peut enjoindre l'administrateur général d'amorcer un processus d'examen, notamment une vérification, selon la portée définie par le Portefeuille, ou le Portefeuille peut entamer son propre processus d'examen de la question, transmettre le dossier au Bureau du vérificateur général ou, en cas de comportement criminel présumé, transmettre le dossier à l'autorité compétente aux fins de la tenue d'une enquête criminelle.

Administrateurs généraux et Portefeuille du Conseil du Trésor

9.8 Les critères supplémentaires qui peuvent être pris en considération par un administrateur général ou le Portefeuille du Conseil du Trésor sont énumérés à l'annexe B, ce qui comprend la prise en compte des causes sous-jacentes, s'il est pratique de le faire. Cette liste n'étant pas exhaustive, ceux-ci peuvent aussi consulter l'annexe C qui contient des exemples de conséquences pour les institutions, et l'annexe D où se trouvent des exemples de mesures administratives et disciplinaires pour les personnes.

9.9 Ces critères aideront les administrateurs généraux et le Conseil du Trésor et son Portefeuille à définir l'intervention la plus pertinente pour restaurer la conformité, les mesures à prendre, le cas échéant, et la façon d'atténuer les risques de récurrence.

Conséquences

9.10 Pour favoriser la connaissance, l'acceptation, les capacités et le respect efficace en ce qui concerne les prescriptions juridiques et les exigences des politiques du Conseil du Trésor, il faut avoir recours à des conséquences claires et adaptées aux risques et au contexte d'une situation donnée.

9.11 Les conséquences possibles vont de la persuasion, (p. ex. maintenir le dialogue), à la contrainte (p. ex. la réorganisation d'une institution ou le licenciement). Les conséquences peuvent être appliquées de manière interne ou externe et mobiliser les fonctionnaires, les administrateurs généraux et, dans des cas plus graves, le Conseil du Trésor et les ministres responsables.

9.12 Voici les conséquences dont les administrateurs généraux et le Portefeuille du Conseil du Trésor doivent tenir compte afin de déterminer ou de recommander les mesures à prendre en cas de non­conformité.

Persuasion

Les discussions visent à ce que les comportements respectent, ou respectent à nouveau, les exigences prévues par la loi ou les exigences des politiques à la suite d'un cas de non­conformité ayant peu d'incidences éventuelles ou réelles. Les discussions peuvent être amorcées par des fonctionnaires de différents paliers du gouvernement. Ce processus est en grande partie non officiel, bien qu'il puisse falloir renforcer la surveillance au moyen d'autres instruments, comme le Cadre de responsabilisation de gestion.

Consentement

Cette solution convient lorsque la persuasion a permis de convenir d'une marche à suivre qui doit être rendue transparente et qui nécessite un engagement formel de même que de la documentation liée au suivi et à la solution.

Le niveau d'engagement peut être précisé dans des lettres à l'intention de fonctionnaires, y compris à l'administrateur général. Dans certains cas, un examen par le Conseil du Trésor des mesures proposées peut être demandé.

La persuasion et le consentement diffèrent quant au degré du caractère officiel du processus, mais tous deux nécessitent une coopération entre les parties.

Coercition

Le recours à la coercition est nécessaire pour imposer une mesure corrective lorsque les approches à caractère coopératif ont échoué et que les interventions ayant trait au non-respect doivent être mises en évidence. Ces interventions sont diverses - imposer certaines mesures ou révoquer certains privilèges - et nécessitent l'apport de correctifs déterminés.

Cette stratégie suppose l'absence de responsabilité prouvée quant au respect de la conformité aux politiques ou l'échec persistant des fonctions de contrôle.

Contrainte

La contrainte appliquée à des institutions ou à des personnes comprend la réduction ou l'élimination de pouvoirs ou de responsabilités dans la mesure où ces institutions ou personnes sont dans l'impossibilité de poser certains gestes. Une institution peut être contrainte à ne plus poursuivre ses activités dans leur état courant. Par exemple, le Conseil du Trésor peut suspendre les opérations en attendant que la situation soit corrigée au moyen d'une restructuration."
10. Surveillance et rapports,"10.1 Le Portefeuille du Conseil du Trésor utilisera l'information recueillie auprès de différentes sources, notamment les rapports sur la conformité établis aux termes du présent cadre et des politiques remaniées du Conseil du Trésor, les évaluations ayant trait au Cadre de responsabilisation de gestion, les vérifications internes et horizontales, les rapports et évaluations du vérificateur général, les présentations au Conseil du Trésor et les autres rapports à l'intention du Parlement pour jauger la condition de la gestion de la conformité au sein du gouvernement."
