New column 0,New column 1
1. Date d’entrée en vigueur  ,La présente norme entre en vigueur le 1er juillet 2012.  Cette norme s'applique à l’information sur les fournisseurs associé à des événements financiers qui se produisent à ou après la date effective de la norme.
2. Application,"La présente norme s'applique aux ministères telle que définie à l'article 2 de la Loi sur la gestion des finances publiques. Dans la présente norme, les expressions « à l'échelle du gouvernement » et « dans l'ensemble du gouvernement » désignent l'ensemble de ces organismes."
3. Contexte,"La présente norme appuie les objectifs de la Politique sur la gérance des systèmes de gestion financière en énonçant les responsabilités du dirigeant principal des finances (DPF) quant à l’obtention et à la tenue à jour de l'information sur les fournisseurs pour l'organisation afin de veiller à assurer l’uniformité et la fiabilité de l’information financière à l’échelle du gouvernement.

La présente norme définit un fichier fournisseur commun, ce qui permet un enregistrement, un regroupement et l’établissement de rapports conséquents dans le Système ministériel de gestion des finances et du matériel (SMGFM).

La présente norme favorise l’obtention de renseignements conséquents et comparables sur les fournisseurs à l’échelle du gouvernement pour les organisations ou les personnes qui concluent une entente financière afin de fournir des biens ou des services au gouvernement du Canada (GC), ou pour les organisations ou les personnes pour lesquelles un compte créditeur est ouvert auprès du GC. L’information conservée dans le fichier fournisseur est utilisée pour l’approvisionnement, les paiements et les rapports sur les interactions avec le GC.

La structure de base d’un fichier fournisseur comprend les éléments suivants: nom du fournisseur, catégorie de fournisseur, numéro d’identification du fournisseur, adresse du fournisseur, région du fournisseur, ville du fournisseur, pays du fournisseur, code postal du fournisseur, préférence linguistique du fournisseur, numéro d’identification du fournisseur aux fins de l’impôt, catégorie de bénéficiaires de l’impôt et données bancaires sur le fournisseur.

N’est pas assujettie à la présente norme l’information sur les personnes et les organisations qui font affaire avec le gouvernement du Canada juste une seule fois.  Également exclue est l’information fournisseur sur les transactions qui sont effectuées en espèces (y compris par carte de crédit), lorsqu’un compte créditeur n’est pas établi et qu’aucune information fournisseur n’est conservée dans le système ministériel de gestion des finances et du matériel.

La présente norme est établie en vertu des articles 7 et 9 de Loi sur la gestion des finances publiques.

La présente norme doit être lue de concert avec la Politique sur la gérance des systèmes de gestion financière et la Directive sur la vérification des comptes.

D’autres exigences sont comprises dans la Directive sur la gérance des systèmes de gestion financière, la Politique sur les marchés, la Politique sur la protection de la vie privée, le manuel du receveur général, les règlements sur les demandes de paiement et de règlement ainsi que les  normes du Conseil du Trésor sur la technologie de l’information (NCTTI)."
4. Définitions,Les définitions servant à l'interprétation de la présente norme figurent à l'annexe A.
5. Énoncé de la norme  ,"5.1 Objectif

Veiller à ce que le fichier fournisseur comprenne de l’information financière uniforme et  comparable à l’échelle du gouvernement.

5.2 Résultat escompté

L’information financière est enregistrée et entretenue à jour de façon uniforme dans le système ministériel de gestion des finances et du matériel."
6. Exigences,"6.1 Le dirigeant principal des finances assume les responsabilités suivantes:

Créer et tenir à jour, d’ici le 1er avril 2013, un fichier fournisseur qui est intégré au système ministériel de gestion des finances et du matériel.

S’assurer que l’information fournisseur qui est utilisé correspond à la définition établie, sert aux fins prévues et permet de repérer tous les éléments du fichier fournisseur qui figurent à l’annexe B.

6.2 Exigences en matière de surveillance et de présentations de rapports

Le dirigeant principal des finances est responsable d'appuyer son administrateur général en surveillant la mise en œuvre et la surveillance de la présente norme dans son ministère, en portant à l'attention de l'administrateur général toute difficulté importante, les lacunes en matière de rendement ou les problèmes de conformité, en élaborant des propositions pour régler ces problèmes, et en faisant rapport au Bureau du contrôleur général des problèmes importants en matière de rendement ou de conformité.

Le contrôleur général est responsable de surveiller la conformité des ministères aux exigences de la présente norme et d'effectuer un examen cinq ans après la date effective de la norme."
7. Conséquences,"En cas de non-conformité, l’administrateur général prend des mesures correctives dans son organisme, de concert avec les responsables de la mise en œuvre des exigences de la présente norme.

Le dirigeant principal des finances doit s’assurer que des mesures correctives sont prises pour régler les cas de non-conformité en tenant compte des exigences de la présente norme. Ces mesures correctives peuvent inclure une exigence de formation supplémentaire, des changements dans les procédures et les systèmes, la suspension ou le retrait de pouvoirs délégués, des mesures disciplinaires ou toute autre mesure appropriée.

Pour voir la liste des conséquences de la non-conformité, voir l’appendice C : Tableau des conséquences pour les institutions et l’appendice D : Tableau des conséquences pour les personnes du Cadre stratégique sur la gestion de la conformité."
8. Rôles et responsabilités des organisations gouvernementales,"Nota: Cette section identifie les autres ministères importants qui ont un rôle à jouer relativement à la présente norme. Cependant, elle ne confère en soi aucun pouvoir.

8.1 Secrétariat du Conseil du Trésor du Canada, Bureau du contrôleur général

Le Bureau du contrôleur général du Secrétariat du Conseil du Trésor du Canada est responsable de l'élaboration, de la surveillance et de la mise à jour de la présente norme ainsi que la prestation de conseils concernant son interprétation.

Dans le contexte des systèmes de gestion financière, le Bureau du contrôleur général assure un leadership fonctionnel relativement aux besoins portant sur les processus opérationnels et les données en appuyant le Conseil du Trésor par la diffusion, au besoin, des instruments de politique qui s’imposent pour définir les données à l’échelle du gouvernement et des processus opérationnels normalisés.

8.2 Travaux publics et Services gouvernementaux Canada (TPSGC)

Travaux publics et Services gouvernementaux Canada est chargé d’attribuer le code d’identification de dossier personnel (CIDP) aux employés du gouvernement fédéral. Il est également responsable d’appliquer les procédures et de recueillir les renseignements sur l’identité connexes.

Le receveur général du Canada est responsable d’attribuer un numéro ministériel, selon le plan comptable à l’échelle de l’administration fédérale, à une organisation qui est autorisée à utiliser le Trésor.

8.3 Agence du revenu du Canada (ARC)

L’Agence du revenu du Canada (ARC) est chargée d’attribuer le numéro d’entreprise (NE) aux personnes et aux entreprises. Elle est également responsable d’appliquer les procédures et de recueillir les renseignements sur l’identité connexes.   "
9. Références,"9.1 Lois applicables
Loi sur la gestion des finances publiques - articles 63 à 65 et paragraphe 9(1).
Loi sur la protection des renseignements personnels.
9.2 Instruments de politique et publications connexes du Conseil du Trésor
Politique sur les marchés
Directive sur la gérance des systèmes de gestion financière
Directive sur les demandes de paiement et le contrôle des chèques
Directive sur la vérification des comptes
Politique sur le contrôle interne
Politique sur la gestion du matériel
Politique sur la protection de la vie privée
Politique sur la gérance des systèmes de gestion financière; et
Normes du Conseil du Trésor sur la technologie de l’information (NCTTI)
9.3 Normes et spécifications de l’extérieur connexes
Règlement sur les demandes de paiement et de règlement
Données d’inscription des fournisseurs (DIF)
Manuel du receveur général du Canada"
10. Demandes de renseignements,"Veuillez adresser vos questions au sujet de la présente norme à l'administration centrale de votre ministère. Aux fins de l'interprétation de cette norme, l'administration centrale du ministère doit communiquer avec :

Secteur de la gestion financière
Bureau du contrôleur général
Secrétariat du Conseil du Trésor
Ottawa (ON) K1A 0R5

Courriel : Contactez Division de la politique de la gestion financière a fin-www@tbs-sct.gc.ca
Téléphone : 613-957-7233
Télécopier : 613-952-9613"
