New column 0,New column 1
1. Date d’entrée en vigueur,"1.1
Ces procédures entrent en vigueur le 1er juin 2013.
1.2
Elles remplacent les procédures suivantes, toutes datées de mai 2005 : Procédure d’inscription des publications au Programme des services de dépôt et dans la base de données centrale des publications, Procédure de publication des avis dans la Gazette du Canada, Procédure de planification et de production des publications destinées à la vente, Procédure de gestion du droit d’auteur de la Couronne et de la concession de licences, Procédure d’attribution de marchés pour des produits cinématographiques, vidéos et multimédias, de même que les lignes directrices Planification des produits d’information : pratiques d’édition efficace, sans superflu, datées de 1992."
2. Application,"2.1
Ces procédures s’appliquent à tous les ministères énumérés aux annexes I, I.1 et II de la Loi sur la gestion des finances publiques, sauf s’ils en sont exclus en vertu d’une loi, d’un règlement ou d’un décret particulier.
2.2
Les exigences 6.10.3 et 6.10.5 ne s’appliquent pas aux ministères suivants :
Bureau du directeur général des élections;
Bureau du vérificateur général du Canada;
Commissariat au lobbying du Canada;
Commissariat aux langues officielles;
Commissariats à l’information et à la protection de la vie privée;
Commissariat à l’intégrité du secteur public du Canada.
2.3
Il incombe uniquement aux administrateurs généraux des ministères mentionnés au paragraphe 2.2 de surveiller et d’assurer la conformité à ces procédures au sein de leur ministère. Il leur incombe également de prendre des mesures correctives appropriées dans les cas de non-conformité, conformément à tout instrument du Conseil du Trésor qui comporte des principes et des lignes directrices en matière de gestion de la conformité."
3. Contexte,"3.1
Selon la Politique sur les communications et l’image de marque, les ministères doivent être innovateurs et se tenir au courant des nouvelles technologies. En mettant l’accent sur l’édition électronique, le gouvernement du Canada s’assure que l’information gouvernementale est facilement disponible et transmise aux Canadiens d’une façon économique. Le gouvernement veille aussi à ce que ses publications, y compris les enregistrements audio et vidéo, soient préservées dans le patrimoine documentaire canadien et soient facilement accessibles au moyen des technologies émergentes et des méthodes traditionnelles.
3.2
Ces procédures appuient la Politique sur les communications et l’image de marque et Directive sur la gestion des communications. Elles décrivent les exigences clés des cadres supérieurs et des chefs des communications, ainsi que les rôles de Bibliothèque et Archives Canada de même que de la Direction des éditions et des services de dépôt et de la Direction de l’approvisionnement en communications, toutes deux de Services publics et Approvisionnement Canada.
3.3
Ces procédures sont émises conformément à l’article 7 de la Loi sur la gestion des finances publiques.
3.4
Ces procédures doivent être lues en parallèle avec la Politique sur les communications et l’image de marque, la Directive sur la gestion des communications, la Politique sur les langues officielles, la Directive sur les langues officielles pour les communications et services, la Directive sur les langues officielles pour la gestion des personnes, la Norme sur la facilité d’emploi des sites Web et la Norme sur l’accessibilité des sites Web."
4. Définitions,Les définitions servant à interpréter ces procédures se trouvent à l’Annexe : Définitions.
5. Énoncé des procédures,"5.1 Objectif

L’objectif de ces procédures est d’assurer que les produits de communications du gouvernement du Canada sont facilement disponibles pour les Canadiens, et sont publiés de façon efficace et économique.

5.2 Résultats attendus

Les résultats attendus de la mise en œuvre de ces procédures sont les suivants :

les produits de communications sont facilement disponibles pour les Canadiens sur les sites Web du gouvernement du Canada;
les ministères gèrent leurs activités d’édition de façon efficace et économique, dans le but d’optimiser les ressources."
6. Exigences,"Il incombe aux cadres supérieurs des ministères :

6.1 Édition électronique et imprimée
6.1.1
d’obtenir l’approbation du chef des communications ou de son délégué pour tous les produits de communications, tous les articles promotionnels et pour toute impression de masse;
6.1.2
de s’assurer que l’impression sur demande est la norme, par rapport à l’impression de masse, en utilisant l’option la plus économique et en noir et blanc, à moins que l’impression en couleur n’ait été jugée nécessaire.

Il incombe aux chefs des communications ou à leurs délégués :

6.2 Articles promotionnels
6.2.1
d’approuver l’élaboration, la production, l’acquisition, la distribution et l’utilisation des articles promotionnels;
6.3 Édition électronique et imprimée
6.3.1
d’approuver tous les produits de communications et toute impression de masse;
6.3.2
de s’assurer que tous les produits de communications sont affichés sur les sites Web du gouvernement du Canada, dans un format prêt à imprimer si possible;
6.3.3
de s’assurer que leur ministère effectue l’impression de masse seulement dans l’un ou l’autre des cas suivants :
une version imprimée est précisément exigée selon une loi, un règlement ou une procédure parlementaire;
le produit fournit au public des renseignements importants en matière de santé ou de sécurité;
une version imprimée est nécessaire pour répondre aux besoins particuliers de l’auditoire cible;
la taille ou le format du produit font en sorte que les imprimantes couramment disponibles ne peuvent pas être utilisées;
un marché existant pour des services d’impression, d’entreposage ou de distribution, mis en place avant l’entrée en vigueur de ces procédures, ne peut être annulé ou le coût de l’annulation de ce marché excède tout avantage potentiel;
le ministre, ou la personne désignée à l’annexe VI (Partie III, Colonne II) de la Loi sur la gestion des finances publiques, demande l’impression;
6.3.4
de s’assurer d’obtenir à l’avance la permission de reproduire, d’adapter, de traduire et de publier du matériel d’un tiers (tel que textes, photographies ou vidéos);
6.3.5
lorsque des produits de communications sont affichés sur les plateformes de tiers (par ex., les médias sociaux), de s’assurer que ces produits sont également disponibles sur des sites Web du gouvernement du Canada;
6.4 Répertoire des publications
6.4.1
de tenir un répertoire de toutes les publications du ministère, y compris les publications électroniques, les publications gratuites et destinées à la vente et celles produites en coédition;
6.4.2
d’envoyer deux fois l’an, en novembre et en avril, des copies électroniques du répertoire mentionné en 6.4.1 à la Direction des éditions et des services de dépôt de Services publics et Approvisionnement Canada et à l’Unité du dépôt légal des ressources numériques de Bibliothèque et Archives Canada;
6.5 Exemplaires des publications
6.5.1
de fournir des copies électroniques et tangibles de toutes les publications, sur tous les supports et dans tous les formats, toutes les éditions, dans toutes les langues disponibles, à l’Unité de dépôt légal de Bibliothèque et Archives Canada;
6.5.2
de fournir des copies électroniques dans des formats portables seulement de toutes les publications dans toutes les langues disponibles à la Direction des éditions et des services de dépôt de Services publics et Approvisionnement Canada;
6.6 Numéros de publications et schémas de métadonnées
6.6.1
d’obtenir de la Direction des éditions et des services de dépôt de Services publics et Approvisionnement Canada un numéro international normalisé du livre (ISBN) pour chaque publication, s’il y a lieu;
6.6.2
d’obtenir de Bibliothèque et Archives Canada un numéro normalisé international de publication en série (ISSN) pour les revues et les autres publications en série;
6.6.3
d’obtenir de la Direction des éditions et des services de dépôt de Services publics et Approvisionnement Canada un numéro de catalogue du gouvernement du Canada, s’il y a lieu;
6.6.4
de s’assurer que leur ministère fournit à l’Unité du dépôt légal de Bibliothèque et Archives Canada l’information sur son schéma de métadonnées et sur toutes les métadonnées structurées disponibles;
6.7 Renseignements à incorporer dans les publications
6.7.1
d’appliquer les critères indiquées sur le site Web 
de Publications du gouvernement du Canada - Renseignements à incorporer dans les publications à
publications.gc.ca de Services publics et Approvisionnement Canada pour la production de publications;
6.8 Droits de la Couronne et attribution de marchés
6.8.1
de gérer le droit d’auteur de la Couronne et la concession de licences;
6.8.2
de s’assurer que tous les marchés pour la production, la distribution et l’évaluation de productions cinématographiques, films, disques compacts (CD), disques vidéos numériques (DVD) et vidéos, émissions de télévision et produits multimédias sont attribués par la Direction de l’approvisionnement en communications de Services publics et Approvisionnement Canada;
6.9 Gazette du Canada
6.9.1
d’appliquer les modalités stipulées sur le site Web de la Gazette du Canada lorsque le ministère publie dans la Gazette du Canada.
6.10 Surveillance et rapports
Dans les ministères

Il incombe aux chefs des communications :

6.10.1
de surveiller la conformité à ces procédures dans leur ministère;
6.10.2
de rendre compte, selon la méthode établie par le Secrétariat du Conseil du Trésor du Canada, sur le rendement de leur ministère à la suite de la mise en œuvre de ces procédures à la fin de l’exercice 2013-2014 et de 2014-2015, puis par la suite, sur demande du Secrétariat.
Dans l’ensemble du gouvernement

Il incombe à Services publics et Approvisionnement Canada et à Bibliothèque et Archives Canada :

6.10.3
de surveiller la mise en œuvre de ces procédures dans leurs domaines de responsabilités et d’informer le Secrétariat du Conseil du Trésor du Canada de tout cas grave ou systémique de non-conformité.

Il incombe au Secrétariat du Conseil du Trésor du Canada :

6.10.4
de collaborer avec Services publics et Approvisionnement Canada et Bibliothèque et Archives Canada pour régler tout cas grave ou systémique de non-conformité;
6.10.5
de surveiller à l’échelle du gouvernement la conformité à ces procédures;
6.10.6
d’examiner ces procédures et leur efficacité cinq ans après leur entrée en vigueur."
7. Conséquences,"7.1
Les conséquences de la non-conformité à ces procédures peuvent inclure toute mesure prévue par la Loi sur la gestion des finances publiques que le Conseil du Trésor estimerait appropriée et acceptable dans les circonstances."
8. Rôles et responsabilités,"8.1 Secrétariat du Conseil du Trésor du Canada

Il incombe au Secrétariat du Conseil du Trésor du Canada :

8.1.1
de conseiller les ministères sur l’interprétation de ces procédures.
8.2 Services publics et Approvisionnement Canada

Il incombe à Services publics et Approvisionnement Canada :

Publications électroniques et imprimées
8.2.1
de produire une liste hebdomadaire des nouvelles publications en version électronique ou en version tangible, et de la mettre à la disposition du Réseau des bibliothèques de dépôt et du public jusqu’au 31 mars 2014;
8.2.2
à compter du 1er avril 2014, de produire un rapport en ligne des nouvelles publications qui sera mis à jour sur une base régulière;
8.2.3
de cataloguer toutes les publications soumises dans la base de données centrale du gouvernement du Canada;
8.2.4
d’attribuer aux ministères des numéros internationaux normalisés du livre (ISBN) et des numéros de catalogue du gouvernement du Canada;
8.2.5
de constituer et de maintenir une collection en ligne de publications électroniques sur le site Web 
de Publications du gouvernement du Canada à
publications.gc.ca;
8.2.6
d’imprimer, de distribuer, d’entreposer et de commercialiser les parties I, II et III de la Gazette du Canada et autres publications imprimées pour le compte des ministères jusqu’au 31 mars 2014;
Produits cinématographiques, vidéo et multimédias
8.2.7
de gérer les activités d’acquisition, y compris l’attribution des marchés pour tous les films, CD, DVD, émissions de télévision et produits multimédias et vidéo;
8.2.8
d’attribuer tous les marchés pertinents, les offres à commandes, les arrangements en matière d’approvisionnement et les commandes subséquentes, de gérer les modifications apportées aux marchés, les questions relatives à la sécurité financière, le règlement des différends, la résiliation et la clôture des marchés, et d’évaluer le rendement des fournisseurs.
8.3 Bibliothèque et Archives Canada

Il incombe à Bibliothèque et Archives Canada :

8.3.1
de gérer le programme de dépôt légal pour la collection des publications du gouvernement du Canada en conformité avec la Loi sur la Bibliothèque et les Archives du Canada;
8.3.2
d’agir à titre de dépôt permanent des publications du gouvernement du Canada et de ses ministères;
8.3.3
de conserver un répertoire permanent des publications du gouvernement du Canada dans des outils tels que sa base de données nationale des publications du patrimoine publié canadien;
8.3.4
d’attribuer les numéros internationaux normalisés des publications en série (ISSN) aux ministères et d’attribuer des blocs de numéros normalisés internationaux de livres (ISBN) à la Direction des éditions et des services de dépôt de Services publics et Approvisionnement Canada."
9. Références,"9.1 Législation
Charte canadienne des droits et libertés
Loi canadienne sur les droits de la personne
Loi sur la Bibliothèque et les Archives du Canada
Loi sur la gestion des finances publiques
Loi sur la protection des renseignements personnels
Loi sur la protection des renseignements personnels et les documents électroniques
Loi sur le droit d’auteur
Loi sur le ministère des Travaux publics et des Services gouvernementaux
Loi sur le multiculturalisme canadien
Loi sur les biens de surplus de la Couronne
Loi sur les langues officielles
Loi sur les marques de commerce
Loi sur les textes réglementaires
Règlement sur le dépôt légal de publications
Règlement sur les langues officielles – communications avec le public et prestation de services
Règlement sur les marchés de l’État
Règlement sur les textes réglementaires
9.2 Instruments de politique connexes
Directive sur la gestion des communications
Directive sur les langues officielles pour les communications et services
Directive sur les langues officielles pour la gestion des personnes
Norme sur l’accessibilité des sites Web
Norme sur la facilité d’emploi des sites Web
Politique sur les communications et l’image de marque
Politique sur la gestion de l’information
Politique sur les langues officielles
Politique sur le titre de propriété intellectuelle découlant des marchés d’acquisition de l’État
Politique sur les marchés"
10. Demandes de renseignements,"Contactez le Secrétariat du Conseil du Trésor du Canada - Canada.ca

Contactez la Direction de l’approvisionnement en communications par courriel
Services publics et Approvisionnement Canada

Contactez la Direction des éditions et des services de dépôt par courriel
Services publics et Approvisionnement Canada

Contactez l’Unité du dépôt légal par courriel
Bibliothèque et Archives Canada

Contactez l’Unité du dépôt légal des ressources numériques par courriel
Bibliothèque et Archives Canada"
