New column 0,New column 1
1. Date d’entrée en vigueur,"1.1 La présente directive entre en vigueur le 19 novembre 2012. Elle remplace la Directive sur l’identification linguistique des postes ou des fonctions et la Directive sur la dotation des postes bilingues.

1.2 L’appendice 2 entre en vigueur le 1er septembre 2021. Nouveau"
2. Application,"2.1 La présente directive s’applique aux institutions assujetties aux parties IV, V, VI et à l’article 91 de la Loi sur les langues officielles, à l’exception du Sénat, de la Chambre des communes, de la bibliothèque du Parlement, du bureau du Conseiller sénatorial en éthique et du bureau du commissaire aux conflits d'intérêts et à l'éthique.

2.2 L’appendice 1 (Identification linguistique des postes) de la présente directive contient des exigences qui s’appliquent aux institutions énumérées ci-dessus et énonce certaines exigences qui ne s’appliquent qu’aux institutions énumérées à l’annexe I ou IV de la Loi sur la gestion des finances publiques (LGFP).

2.3 L’appendice 2 (Règles de dotation) contient des exigences qui ne s’appliquent qu’aux institutions assujetties à la Loi sur l’emploi dans la fonction publique (LEFP)."
3. Contexte,"3.1 La présente directive est émise pour appuyer la Politique sur les langues officielles en établissant les exigences relatives à l’identification linguistique des postes, à la dotation des postes bilingues et à la participation équitable des Canadiens d’expression française et ceux d’expression anglaise dans les institutions fédérales.

3.2 La Loi sur les langues officielles (LLO) stipule que le français et l’anglais sont les langues de travail dans les institutions et que les employés ont le droit d’utiliser l’une ou l’autre conformément à la partie V de la LLO.

3.3 Les langues de travail utilisées dans les institutions sont établies en fonction de régions géographiques. Le français et l’anglais sont les langues de travail dans les régions bilingues. Dans les régions unilingues, la langue de travail est généralement celle qui prédomine dans la province ou le territoire.

3.4 Les langues utilisées pour les communications avec le public et la prestation de services sont établies pour chaque bureau d’une institution. Dans les bureaux désignés, les membres du public ont le droit de choisir entre le français et l’anglais.

3.5 Les gestionnaires dans les institutions exercent un leadership en matière de langues officielles qui permet de :

respecter les droits des employés en matière de langue de travail;
créer et maintenir un milieu de travail propice à l’usage du français et de l’anglais dans les régions bilingues;
communiquer aux employés le rôle que les langues officielles jouent quant à l’excellence des services offerts aux Canadiens.

3.6 La présente directive est émise par le Conseil du Trésor conformément aux pouvoirs qui lui sont conférés en vertu de l’article 46 de la LLO.

3.7 La présente directive doit être lue en tenant compte des parties IV, V, VI et de l’article 91 de la LLO, de la Politique sur les langues officielles et des instruments de politique connexes tels que :

la Directive sur les langues officielles pour les communications et les services ;
la Directive sur la prime au bilinguisme ;
les Normes de qualification relatives aux langues officielles."
4. Définitions,Voir appendice 4 de la présente directive. 
5. Énoncé de la directive,"5.1 Objectif

Établir des pratiques et des procédures saines et uniformes pour les administrateurs généraux ou leurs délégués ainsi que les chefs des ressources humaines dans ce qui suit :

les responsabilités relatives aux obligations en matière de langue de travail;
les étapes à suivre pour l’identification linguistique des postes;
les conditions de la dotation des postes bilingues.
5.2 Résultats attendus

Des mesures adéquates sont mises en place pour s’assurer que :

5.2.1 les droits des employés en matière de langue de travail sont respectés;
5.2.2 l’identification linguistique des postes se fait en tenant compte des tâches à accomplir ou en appliquant les exigences préétablies pour les postes de direction;
5.2.3 les postes bilingues sont dotés par des candidats qui répondent aux exigences linguistiques au moment de leur nomination au poste, à moins de situations exceptionnelles de dotation;
5.2.4 les Canadiens d’expression française et ceux d’expression anglaise ont des chances égales d’emploi et d’avancement dans l’institution, et ce, dans le respect du principe du mérite tel que stipulé à l’article 39 (3) de la LLO."
6 Exigences,"6.1 Langue de travail

Les gestionnaires et les superviseurs ont la responsabilité de :

6.1.1 (Instruments de travail) Mettre à la disposition des employés, dans les régions bilingues, des instruments de travail et des systèmes informatiques d’usage courant et généralisé (instruments de travail) dans les deux langues officielles. Dans les régions unilingues, des instruments de travail dans les deux langues officielles doivent également être mis à la disposition des employés qui communiquent ou fournissent des services en français et en anglais au public ou aux employés.
6.1.2 (Supervision) Superviser les employés qui travaillent dans les régions bilingues dans la langue officielle de leur choix quand ceux-ci occupent des postes bilingues ou réversibles et dans la langue officielle du poste quand ceux-ci occupent des postes unilingues.
Les gestionnaires et les superviseurs occupant des postes bilingues dans les régions bilingues supervisent chaque employé dans la langue officielle de son choix, peu importe l’identification linguistique de son poste.  
6.1.3 (Réunions) Prendre toutes les mesures nécessaires pour permettre aux employés dans les régions bilingues d’utiliser la langue officielle de leur choix durant les réunions.
6.1.4 (Formation et perfectionnement) S’assurer que, dans les régions bilingues, la formation et le perfectionnement professionnel sont disponibles dans la langue officielle de choix de l’employé.
6.1.5 (Examen du rendement) S’assurer que, dans les institutions dont le Conseil du Trésor est l’employeur, les examens annuels de rendement et les cotes d’évaluation reflètent la conformité à la présente directive ainsi qu’aux directives et normes connexes.
6.1.6 (Autres mesures) Prendre toute mesure possible pour créer et maintenir un milieu de travail qui permet aux employés dans les régions bilingues d’utiliser la langue officielle de leur choix pour toute communication orale ou écrite.

Les administrateurs généraux ou leurs délégués ont la responsabilité de :

6.1.7 (Services personnels et centraux) Fournir aux employés dans les régions bilingues des services personnels et centraux dans la langue officielle de leur choix.
6.1.8 (Formation linguistique pour développement professionnel) Offrir la formation linguistique aux employés désireux de développer leurs compétences en langue seconde en vue de progresser dans leur carrière et d’occuper éventuellement des postes bilingues. Les employés d’expression française et ceux d’expression anglaise ont des chances égales d’accès à la formation linguistique à des fins de développement professionnel. Les modalités de la formation sont négociées entre l'employé et son gestionnaire; elles doivent tenir compte des besoins respectifs de l’employé et de l’institution ainsi que des ressources disponibles.
6.1.9 (Agences centrales et de services communs) S’assurer que les agences centrales et de services communs respectent les droits en matière de langue de travail des employés des institutions sur lesquelles elles ont autorité ou qu’elles desservent.
6.1.10 (Griefs) S’assurer que les employés dont le Conseil du Trésor est l’employeur peuvent déposer un grief dans la langue officielle de leur choix partout au Canada.
6.2 Identification linguistique des postes

Les gestionnaires sont responsables de :

6.2.1 (Identification linguistique) Déterminer l’identification linguistique des postes en s’assurant qu’elle reflète les fonctions et les tâches reliées au poste. Ce faisant, les gestionnaires doivent :
6.2.1.1 déterminer objectivement si le poste requiert l’utilisation d’une seule ou des deux langues officielles;
6.2.1.2 si le poste exige l’utilisation des deux langues officielles, établir objectivement le niveau de compétence linguistique requis dans la seconde langue officielle. 
6.2.2 (Examen de l’identification linguistique) Examiner objectivement l’identification de chaque poste lors de toute activité touchant les ressources humaines telles qu’une dotation, une réorganisation ou une reclassification. Si des modifications y sont apportées, le titulaire doit en être informé par écrit dans les plus brefs délais. 
6.2.3 (Exigences particulières) Appliquer les exigences additionnelles énumérées dans les parties I et II de l’appendice 1 (Identification linguistique des postes) de la présente directive.
6.2.4 (Postes de direction) Appliquer l’identification prédéterminée des postes de direction dont la liste est dans la Partie III de l’appendice 1 (Identification linguistique des postes) de la présente directive.  
6.3 Dotation des postes bilingues

Les gestionnaires ont les responsabilités suivantes :

6.3.1 (Identification) Procéder à l’identification linguistique du poste à doter avant d’entamer le processus de dotation. 
6.3.2 (Règle générale) Doter les postes bilingues par des candidats qui satisfont aux exigences linguistiques du poste au moment de leur nomination.
6.3.3 (Exception à la règle générale) Dans des situations exceptionnelles de dotation, appliquer les mesures suivantes lorsqu’un poste bilingue est doté par un candidat qui ne répond pas aux exigences linguistiques.
6.3.3.1 (Formation linguistique) S’assurer que la formation linguistique est fournie dans les plus brefs délais au candidat afin de lui permettre d’acquérir les compétences linguistiques requises.
6.3.3.2 (Accommodement) S’assurer que des mesures sont prises pour accommoder toute personne ayant un handicap ou un trouble d’apprentissage identifié pouvant nuire à l’apprentissage de l’autre langue officielle.
6.3.3.3 (Mesures) Prendre des mesures pour assurer les tâches ou fonctions bilingues liées au poste aussi longtemps que la personne qui occupe ce poste ne répond pas aux exigences linguistiques.
6.3.4 (Cas particuliers) Dans les situations suivantes, doter en tout temps les postes bilingues par des candidats qui satisfont aux exigences linguistiques : 
si le poste est doté pour une durée limitée;
si le poste exige une compétence linguistique technique ou spécialisée;
s’il s’agit d’un poste bilingue indispensable pour assurer le service au public ou aux employés dans les deux langues officielles.

Les administrateurs généraux ou leurs délégués sont responsables de :

6.3.5 (Exigences particulières) Appliquer les exigences additionnelles énumérées dans l’appendice 2 (Règles de dotation) de la présente directive si l’institution est assujettie à la LEFP.
6.4 Participation équitable des Canadiens d’expression française et d’expression anglaise

Les conseillers en ressources humaines ont la responsabilité de :

6.4.1 (Mesures de recrutement) Conseiller les gestionnaires et les superviseurs sur les mesures possibles de recrutement (voir appendice 3 de la présente directive) pour assurer la participation équitable des Canadiens d’expression française et d’expression anglaise. 
6.5 Surveillance et établissement de rapports

Les chefs des ressources humaines ont la responsabilité de :

6.5.1 Surveiller la conformité de leur institution à la présente directive;
6.5.2 Prendre les mesures correctives nécessaires si des lacunes sont constatées;
6.5.3 Maintenir à jour les dossiers et les systèmes d’information qui permettent de faire rapport au Bureau du dirigeant principal des ressources humaines du Secrétariat du Conseil du Trésor (BDPRH-SCT), à sa demande."
7. Conséquences,Les conséquences du non-respect de la présente directive sont celles énoncées dans la section correspondante de la Politique sur les langues officielles.
8. Rôles et responsabilités des organisations gouvernementales,Les rôles et responsabilités des organisations gouvernementales de la présente directive sont ceux énoncés dans la section correspondante de la Politique sur les langues officielles.
9. Références,"Législation 

La Charte canadienne des droits et libertés
La Loi sur les langues officielles
La Loi sur la gestion des finances publiques
La Loi sur l'emploi dans la fonction publique
Le Règlement sur l'emploi dans la fonction publique
Le Règlement sur les langues officielles - nominations dans la fonction publique
Le Décret d'exemption concernant les langues officielles dans la fonction publique

Instruments de politique du Conseil du Trésor

Les Normes de qualification relatives aux langues officielles
La Politique sur l'obligation de prendre des mesures d'adaptation pour les personnes handicapées dans la fonction publique fédérale

Autres publications

La Directive sur la prime au bilinguisme"
10. Demandes de renseignements,"Pour toute question relative à la présente directive, s’adresser à la Personne responsable des langues officielles de l’institution ou aux Demandes de renseignements du public du SCT."
